gender,age,study_time,failures,absences,G1,G2,G3,family_support,paid_classes,activities,internet,parental_edu,dropout
F,16,3,0,2,17,17,14,yes,no,yes,no,primary,0
F,15,4,0,4,11,14,11,yes,no,no,no,primary,0
M,15,2,0,7,0,0,1,no,no,yes,no,secondary,0
M,15,3,0,6,14,12,12,no,no,yes,yes,primary,0
F,19,1,0,3,9,7,4,no,yes,no,yes,primary,1
M,20,2,0,5,8,6,2,yes,no,yes,yes,secondary,0
M,15,2,0,5,9,10,7,no,yes,no,yes,primary,0
F,19,4,0,3,9,9,11,yes,yes,yes,yes,secondary,0
F,18,2,0,3,12,9,12,yes,yes,yes,yes,none,0
M,16,2,0,5,6,3,7,yes,no,no,no,secondary,1
F,20,1,0,1,7,7,5,yes,no,yes,no,secondary,0
F,21,1,2,4,12,14,7,no,no,yes,yes,primary,1
M,16,1,0,2,12,15,6,yes,no,no,yes,higher,0
F,20,2,0,1,12,14,9,yes,no,yes,yes,higher,0
M,21,3,0,2,8,9,7,yes,no,yes,no,primary,1
F,16,2,0,4,8,8,9,yes,no,yes,yes,higher,0
F,20,2,0,4,9,11,10,yes,no,yes,no,primary,0
F,16,1,0,2,11,14,11,yes,no,no,yes,primary,0
M,16,3,1,9,15,16,11,yes,no,yes,yes,none,0
F,21,3,0,4,4,3,1,no,no,no,no,secondary,0
M,16,1,0,5,10,9,8,no,no,yes,no,secondary,0
M,16,3,0,4,7,8,7,yes,no,yes,yes,secondary,0
M,21,2,1,3,6,6,6,yes,no,yes,yes,higher,1
F,18,1,0,6,13,12,8,yes,no,no,no,secondary,0
F,15,2,0,5,12,12,11,no,no,no,yes,secondary,0
M,17,2,0,5,12,14,11,yes,no,no,no,secondary,0
F,19,1,0,4,13,12,8,yes,no,no,no,higher,0
M,17,4,0,4,9,12,7,yes,no,yes,no,primary,0
F,17,3,0,3,9,12,10,no,no,yes,yes,secondary,0
M,20,3,0,1,17,19,14,yes,no,yes,yes,secondary,0
F,15,2,0,1,10,13,13,yes,no,yes,no,secondary,0
M,20,2,0,5,13,13,11,no,no,yes,yes,secondary,0
F,15,3,0,6,11,11,8,yes,no,yes,yes,secondary,0
M,21,2,2,6,5,8,5,no,no,yes,no,secondary,1
M,21,1,0,3,4,2,2,yes,no,yes,yes,secondary,1
M,15,2,0,6,9,10,6,no,yes,yes,no,secondary,0
F,16,3,0,5,14,11,8,yes,no,yes,no,primary,0
F,18,2,0,6,13,14,12,no,no,no,no,secondary,0
M,16,1,1,1,13,16,14,yes,no,yes,no,secondary,0
F,18,3,0,3,8,8,8,no,no,no,yes,secondary,0
F,20,1,0,3,15,15,15,yes,yes,no,yes,higher,0
F,18,2,0,6,8,9,6,yes,no,yes,no,secondary,1
F,20,1,0,2,11,11,12,no,no,yes,yes,none,0
M,21,2,0,9,10,12,7,yes,yes,yes,no,secondary,1
M,17,3,0,4,10,9,5,yes,no,no,no,higher,0
F,21,2,0,3,15,15,8,yes,no,yes,yes,secondary,0
F,21,1,1,5,8,11,7,no,no,yes,no,secondary,0
F,17,3,0,5,6,9,5,yes,yes,yes,yes,primary,0
M,18,3,1,2,11,12,10,no,no,no,yes,secondary,0
M,18,3,1,3,9,10,8,yes,no,yes,no,secondary,0
F,20,1,1,5,20,20,14,yes,yes,no,no,higher,0
F,16,2,0,4,13,16,11,yes,yes,no,yes,secondary,0
F,20,4,0,3,9,7,5,yes,yes,no,yes,secondary,0
F,16,3,1,1,7,10,4,yes,no,no,yes,secondary,0
F,21,1,0,4,5,7,3,yes,yes,no,yes,secondary,1
M,17,1,0,2,7,10,6,yes,yes,no,yes,higher,0
M,21,2,1,8,11,13,13,no,no,no,yes,secondary,0
F,15,4,2,7,15,18,14,yes,no,yes,no,higher,0
F,18,2,0,5,14,17,14,yes,no,yes,no,secondary,0
M,16,2,0,2,11,9,5,yes,no,no,yes,primary,0
M,20,1,0,4,10,12,11,yes,yes,no,yes,secondary,0
F,17,3,1,6,11,9,10,yes,no,no,no,none,0
M,16,3,2,3,9,11,4,yes,yes,no,no,primary,0
M,20,2,0,2,16,14,10,no,no,no,no,secondary,0
F,18,3,0,5,10,8,8,yes,no,yes,yes,secondary,0
F,21,4,1,5,10,12,10,yes,yes,no,yes,secondary,0
F,18,1,0,5,4,2,1,yes,no,yes,yes,none,1
M,19,2,0,5,10,13,9,yes,no,no,no,secondary,0
F,15,2,3,6,13,15,10,yes,yes,no,yes,secondary,0
M,19,3,0,4,7,5,5,yes,no,no,yes,higher,1
M,17,2,0,0,8,11,10,yes,no,yes,yes,secondary,0
F,16,2,0,6,13,16,10,yes,no,yes,yes,secondary,0
F,17,3,0,5,6,7,7,no,no,yes,no,primary,1
F,21,2,1,6,14,11,8,yes,no,no,yes,secondary,0
F,20,4,0,6,9,11,7,yes,yes,no,no,secondary,1
F,18,2,3,2,9,7,8,yes,no,yes,yes,higher,1
M,19,1,0,2,7,8,8,yes,no,no,yes,none,0
M,19,3,0,3,12,9,10,yes,yes,no,yes,secondary,0
M,21,3,0,6,18,16,11,yes,no,yes,yes,secondary,0
M,19,2,0,4,13,10,8,no,no,no,yes,primary,0
F,21,3,0,3,8,10,9,yes,no,no,no,secondary,0
M,17,4,0,3,14,17,13,yes,yes,no,no,higher,0
F,18,2,0,3,10,13,7,yes,no,no,yes,secondary,0
F,16,4,0,4,15,12,11,yes,no,no,yes,higher,0
F,20,1,1,2,13,16,10,yes,no,no,no,primary,0
F,16,1,0,4,2,1,5,yes,no,yes,yes,secondary,1
F,17,1,1,4,7,7,9,yes,yes,no,yes,secondary,0
F,20,3,0,6,13,16,13,yes,no,yes,yes,secondary,0
M,19,3,0,2,11,10,11,yes,yes,yes,no,higher,0
F,15,1,0,1,7,9,7,no,no,yes,yes,primary,1
M,17,2,0,5,9,11,10,yes,no,yes,yes,higher,0
M,17,2,0,5,5,2,5,yes,no,no,yes,secondary,0
F,18,1,1,6,10,13,10,no,no,no,yes,primary,0
M,16,3,1,6,17,20,15,no,no,yes,yes,higher,0
F,17,3,0,1,13,16,8,no,no,no,no,secondary,0
F,17,2,0,3,17,18,14,yes,no,no,no,higher,0
F,19,4,1,3,13,11,11,no,no,no,yes,secondary,0
M,19,2,0,7,14,14,13,yes,no,no,yes,higher,0
M,20,4,1,6,16,19,15,yes,no,yes,no,secondary,0
F,21,3,1,3,12,10,8,yes,yes,no,no,primary,0
M,21,2,1,4,10,11,5,no,yes,no,yes,secondary,0
F,15,1,0,1,14,16,11,yes,yes,no,yes,primary,0
F,21,3,0,4,15,15,11,yes,no,no,yes,secondary,0
F,18,2,0,4,9,8,6,yes,yes,no,yes,primary,1
M,15,1,0,1,8,10,9,yes,no,no,yes,none,0
M,20,1,1,2,11,13,14,no,no,no,no,primary,0
F,19,2,0,6,13,10,9,yes,yes,no,yes,secondary,0
M,21,2,0,4,13,14,10,yes,no,yes,no,secondary,0
M,16,3,2,2,6,3,3,no,yes,yes,no,secondary,0
F,19,3,1,7,16,13,12,yes,no,yes,no,primary,0
F,18,1,2,5,9,7,5,yes,no,no,yes,secondary,1
F,19,3,1,4,10,12,9,no,no,no,yes,secondary,0
F,18,1,0,6,8,9,8,no,yes,yes,no,secondary,0
M,18,3,0,7,19,16,14,no,no,no,no,higher,0
F,18,3,2,3,11,10,9,yes,no,no,no,secondary,0
F,20,2,0,5,8,8,7,yes,no,no,yes,secondary,1
M,18,3,0,6,13,16,8,yes,no,yes,yes,primary,0
F,18,2,0,2,13,14,12,yes,yes,no,no,none,0
F,16,2,0,5,10,8,6,yes,no,no,yes,higher,0
F,15,3,1,2,13,14,9,yes,no,no,yes,higher,0
F,17,2,0,3,8,10,5,no,yes,no,yes,primary,0
F,15,2,0,1,9,7,7,yes,no,no,yes,secondary,0
M,18,2,0,2,4,4,3,yes,no,yes,yes,secondary,0
M,16,3,0,3,7,6,2,yes,no,no,yes,secondary,1
F,19,2,0,3,16,13,12,yes,yes,yes,yes,higher,0
F,16,1,0,6,15,16,10,no,no,yes,no,primary,0
F,18,3,2,1,11,9,8,yes,no,yes,yes,secondary,0
F,16,3,0,5,15,15,12,yes,no,yes,yes,primary,0
F,21,1,0,6,10,7,8,yes,yes,yes,no,secondary,1
F,16,1,0,6,10,13,13,yes,no,no,yes,none,0
F,18,1,0,3,11,11,6,yes,no,no,yes,higher,0
F,20,2,0,4,10,9,7,no,no,yes,no,secondary,0
F,21,2,1,5,10,7,6,yes,no,no,no,higher,0
F,16,3,0,4,14,11,11,yes,no,yes,yes,primary,0
F,17,3,1,4,11,14,11,yes,no,yes,yes,primary,0
M,17,2,0,4,13,10,8,no,no,no,no,primary,0
M,16,2,0,4,14,12,9,no,no,no,yes,secondary,0
M,20,3,0,5,12,9,6,yes,no,no,no,higher,0
F,19,2,2,2,8,8,8,yes,no,yes,no,secondary,1
M,18,4,0,3,6,4,5,no,yes,no,no,primary,1
F,17,2,0,2,11,8,9,no,no,no,yes,primary,0
F,19,1,0,1,10,10,7,no,yes,no,yes,primary,1
M,16,3,0,8,11,11,7,no,no,yes,no,secondary,0
F,19,2,0,1,10,11,6,yes,no,no,yes,secondary,1
M,21,3,0,10,18,18,15,yes,no,no,yes,secondary,0
M,15,1,0,5,7,10,5,no,no,no,no,secondary,0
F,17,1,0,6,5,7,9,no,no,yes,yes,primary,0
M,16,3,0,3,11,10,6,yes,no,no,yes,primary,1
M,18,1,1,6,9,6,6,yes,no,yes,no,secondary,1
F,20,3,1,4,11,14,13,no,no,no,yes,secondary,1
F,21,2,1,3,12,9,9,yes,no,yes,yes,secondary,0
M,16,2,0,0,14,11,10,no,no,yes,yes,primary,0
F,18,3,0,5,6,6,3,yes,no,no,no,none,0
M,20,2,0,8,9,9,4,yes,no,yes,yes,primary,0
M,20,2,0,2,12,9,10,yes,yes,yes,yes,none,0
F,16,1,0,3,13,15,14,yes,no,yes,no,primary,0
F,21,1,0,6,17,15,12,yes,no,yes,no,secondary,0
F,19,2,0,1,13,11,7,yes,no,no,yes,primary,0
F,19,3,0,5,10,9,3,no,no,no,no,primary,1
F,20,4,1,5,8,9,5,no,no,no,yes,higher,0
F,19,3,0,7,9,12,8,yes,yes,yes,no,secondary,0
M,15,3,0,5,9,8,10,yes,no,no,yes,higher,0
F,20,3,0,1,12,9,9,yes,no,no,yes,secondary,0
M,20,3,0,4,11,14,11,yes,no,no,no,secondary,0
M,18,2,0,6,7,4,3,yes,no,no,yes,primary,1
M,19,4,2,1,9,6,5,yes,yes,no,yes,secondary,1
M,21,3,2,1,13,14,14,yes,no,no,yes,primary,0
F,20,2,0,2,12,12,10,yes,no,yes,no,none,0
F,21,1,2,6,12,13,6,yes,no,yes,yes,higher,0
F,15,2,3,4,12,11,8,no,no,no,yes,secondary,0
M,18,2,1,5,15,15,10,yes,no,no,yes,higher,0
M,16,3,1,8,11,11,8,no,no,yes,yes,secondary,0
M,21,2,0,5,9,8,8,no,no,yes,yes,secondary,0
M,20,2,0,6,8,8,6,no,yes,no,yes,secondary,1
F,15,4,0,3,11,14,10,no,no,no,yes,secondary,0
F,17,1,0,3,3,1,4,yes,yes,yes,yes,secondary,0
F,15,2,3,4,10,9,6,yes,no,yes,no,higher,0
M,15,1,0,4,10,9,11,yes,yes,no,no,none,0
F,18,3,1,5,6,4,2,no,no,no,no,secondary,1
F,16,4,1,4,8,9,7,no,yes,yes,yes,secondary,0
F,17,2,1,5,13,14,10,no,no,no,no,primary,0
F,19,3,3,3,11,12,10,yes,no,no,yes,secondary,0
M,19,2,0,1,11,11,10,no,no,no,no,secondary,0
M,21,4,0,3,11,9,9,yes,no,no,yes,primary,0
M,15,3,0,3,11,14,9,yes,no,no,yes,primary,0
F,18,3,0,3,14,13,8,no,no,yes,yes,secondary,0
M,18,1,0,6,11,10,13,yes,no,yes,yes,secondary,0
M,19,4,0,7,6,5,3,no,no,yes,no,secondary,1
M,21,3,1,5,15,15,13,yes,no,yes,no,primary,0
M,21,2,0,4,12,12,6,no,yes,yes,no,none,1
F,21,3,0,2,9,11,8,yes,no,yes,no,higher,0
F,17,2,0,0,7,10,7,no,no,no,yes,higher,1
F,16,3,0,4,12,13,11,no,yes,no,yes,secondary,0
M,17,1,0,3,10,12,4,no,no,no,no,higher,0
F,20,3,1,5,15,17,13,yes,no,no,yes,secondary,0
F,20,2,0,3,9,9,5,no,yes,yes,no,primary,0
M,16,1,1,4,8,9,8,yes,no,yes,yes,primary,0
M,19,1,0,6,13,14,9,yes,no,yes,yes,higher,0
M,16,1,1,3,13,12,8,yes,yes,no,no,secondary,0
F,18,2,0,3,11,11,8,no,no,yes,yes,higher,0
F,20,2,0,4,13,14,9,yes,no,no,yes,higher,0
M,15,2,0,5,10,12,8,no,no,no,yes,secondary,0
M,15,2,1,5,11,9,5,no,no,yes,no,none,1
F,19,2,0,4,14,12,7,yes,no,yes,yes,primary,1
F,18,3,0,8,12,12,12,no,no,no,yes,primary,0
F,17,1,3,6,10,9,5,yes,no,no,yes,primary,1
F,18,4,1,4,15,14,11,no,no,no,yes,secondary,0
M,15,3,0,3,3,4,4,yes,no,yes,yes,primary,1
M,15,3,1,3,17,20,14,yes,yes,no,yes,primary,0
F,20,2,0,4,5,5,2,yes,no,yes,no,secondary,0
M,18,3,0,4,9,12,9,yes,no,no,no,secondary,0
F,18,1,0,3,10,8,9,yes,yes,no,yes,secondary,0
F,15,1,2,4,10,12,7,yes,no,no,no,secondary,0
F,17,1,2,3,14,15,11,yes,yes,yes,yes,secondary,1
M,19,3,0,5,7,9,3,yes,no,no,yes,higher,1
F,21,1,0,2,11,14,10,yes,no,yes,yes,primary,0
F,19,2,0,6,9,10,8,no,no,yes,yes,primary,0
F,18,4,3,5,11,8,6,yes,yes,yes,yes,higher,1
F,19,3,3,1,10,12,8,no,no,no,yes,secondary,1
M,15,2,0,5,11,11,6,yes,yes,no,no,secondary,0
F,15,1,1,4,9,11,8,yes,no,yes,yes,primary,0
F,18,3,1,0,9,11,10,yes,no,no,no,higher,0
M,18,2,0,5,11,12,7,yes,no,yes,yes,higher,1
M,21,1,0,4,13,11,8,yes,no,yes,yes,secondary,0
M,21,1,0,6,9,12,10,yes,no,yes,yes,primary,0
M,20,4,0,1,8,5,7,no,yes,no,yes,higher,1
M,18,3,0,2,12,14,8,no,no,no,no,secondary,0
F,17,3,0,2,10,13,9,yes,no,no,no,secondary,0
M,19,3,2,3,13,16,12,no,no,no,yes,none,0
M,18,2,0,3,8,6,5,yes,yes,yes,no,secondary,0
F,16,2,0,1,5,4,0,yes,no,no,no,primary,0
M,20,2,0,3,9,6,7,yes,no,yes,no,primary,0
F,16,2,0,3,8,5,8,no,no,no,yes,secondary,0
M,15,2,0,3,10,13,10,no,no,no,no,primary,0
M,21,3,0,2,9,10,6,no,no,no,yes,secondary,0
F,19,2,0,3,13,15,10,yes,yes,no,no,secondary,0
F,18,3,0,6,10,9,11,yes,yes,no,yes,primary,0
F,16,2,0,2,11,12,11,no,no,yes,yes,secondary,0
F,19,2,0,4,11,11,10,yes,no,no,yes,higher,0
F,15,2,1,4,11,9,9,yes,no,yes,yes,primary,0
M,21,2,0,3,10,8,6,yes,no,yes,no,secondary,0
M,17,3,0,4,12,13,10,yes,no,no,yes,secondary,0
F,20,1,1,3,8,11,8,yes,no,no,yes,secondary,0
F,19,2,0,3,15,13,12,yes,no,yes,no,primary,0
F,19,1,0,6,10,12,12,yes,no,no,yes,secondary,0
M,17,2,1,7,7,5,7,yes,no,no,yes,none,1
M,19,2,0,6,11,13,7,yes,no,no,yes,higher,0
F,15,3,0,2,8,8,7,yes,yes,no,yes,secondary,0
M,15,4,1,1,12,11,11,yes,no,no,yes,secondary,0
F,17,2,1,5,17,14,13,yes,no,yes,yes,secondary,0
F,20,3,3,2,8,9,6,yes,no,no,no,secondary,1
M,18,2,0,5,11,12,15,yes,no,no,no,secondary,0
F,16,2,0,3,5,7,2,no,no,no,yes,secondary,1
F,18,1,0,5,12,12,7,no,yes,no,yes,secondary,1
M,19,2,0,5,8,8,7,yes,yes,yes,yes,primary,0
F,16,2,0,5,9,12,13,yes,no,yes,no,primary,0
F,17,2,0,6,7,4,2,no,no,yes,yes,secondary,1
F,17,1,2,6,13,12,9,yes,no,yes,no,higher,0
M,20,1,0,5,14,15,14,yes,yes,yes,yes,primary,0
F,16,2,0,5,11,13,10,yes,no,yes,no,none,0
M,15,4,0,2,8,8,6,yes,no,no,yes,primary,0
M,16,2,0,4,15,16,14,yes,no,no,no,higher,0
F,19,2,0,4,8,10,8,no,no,no,yes,higher,0
M,15,1,0,2,4,2,4,no,yes,no,no,secondary,1
M,21,2,0,3,12,13,13,yes,no,yes,yes,higher,0
F,21,2,0,3,7,6,6,yes,no,yes,yes,secondary,0
F,21,1,2,4,13,15,12,yes,no,no,yes,higher,0
F,17,2,2,4,9,8,7,yes,no,no,no,primary,0
F,16,1,0,2,12,13,11,yes,yes,no,no,primary,0
M,21,1,0,6,15,13,11,yes,no,yes,yes,secondary,0
M,18,1,1,4,7,6,5,yes,no,yes,yes,secondary,0
M,20,1,2,4,9,9,10,yes,yes,no,yes,secondary,0
F,18,1,0,4,10,12,12,yes,no,no,no,secondary,0
F,21,2,1,6,15,16,9,no,no,no,no,secondary,0
F,20,3,0,5,9,7,6,yes,no,no,no,primary,0
F,19,2,1,3,9,9,6,no,no,no,yes,primary,1
M,18,2,3,5,12,13,9,yes,no,no,no,higher,0
F,16,2,0,5,9,12,10,yes,no,no,no,higher,0
M,16,4,2,5,11,9,9,yes,no,no,no,higher,0
F,18,2,0,4,6,6,5,yes,no,no,yes,secondary,1
M,21,1,3,6,17,16,9,yes,yes,no,no,secondary,0
F,16,2,0,2,6,7,3,no,no,no,yes,secondary,1
M,19,1,1,9,10,11,10,no,no,yes,yes,primary,0
M,15,2,0,2,10,9,2,yes,no,no,yes,primary,0
M,21,2,0,2,16,19,17,yes,no,no,yes,primary,0
F,19,3,0,2,7,4,5,yes,yes,yes,yes,higher,1
F,20,2,3,3,16,16,15,yes,yes,no,yes,primary,0
M,19,3,1,6,13,12,10,yes,no,yes,yes,higher,0
M,21,4,1,2,12,13,6,yes,no,no,no,secondary,1
F,20,1,2,4,8,8,7,yes,no,no,yes,secondary,1
M,21,2,0,3,12,15,14,yes,yes,yes,yes,primary,0
F,16,2,0,9,8,8,8,yes,yes,no,yes,primary,0
F,15,2,0,4,14,11,8,yes,no,no,no,higher,0
M,21,2,0,0,8,9,7,yes,no,no,no,primary,0
M,21,4,0,4,10,8,6,no,no,yes,yes,primary,0
F,16,3,0,4,9,6,4,yes,no,no,no,primary,0
M,17,2,0,3,8,5,7,no,no,no,yes,primary,0
